Reporter Data																																																																																																
Cycs	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20	Sample.21	Sample.22	Sample.23	Sample.24	Sample.25	Sample.26	Sample.27	Sample.28	Sample.29	Sample.30	Sample.31	Sample.32	Sample.33	Sample.34	Sample.35	Sample.36	Sample.37	Sample.38	Sample.39	Sample.40	Sample.41	Sample.42	Sample.43	Sample.44	Sample.45	Sample.46	Sample.47	Sample.48	Sample.49	Sample.50	Sample.51	Sample.52	Sample.53	Sample.54	Sample.55	Sample.56	Sample.57	Sample.58	Sample.59	Sample.60	Sample.61	Sample.62	Sample.63	Sample.64	Sample.65	Sample.66	Sample.67	Sample.68	Sample.69	Sample.70	Sample.71	Sample.72	Sample.73	Sample.74	Sample.75	Sample.76	Sample.77	Sample.78	Sample.79	Sample.80	Sample.81	Sample.82	Sample.83	Sample.84	Sample.85	Sample.86	Sample.87	Sample.88	Sample.89	Sample.90	Sample.91	Sample.92	Sample.93	Sample.94	Sample.95	Sample.96
11	0.441060186	0.174321977	0.405765567	0.228058579	-0.083153342	0.425860805	0.382934996	-0.088569738	0.242671976	-0.124348907	0.310725081	0.54259735	0.600266177	0.298077367	0.161414182	0.125312471	0.103275667	-0.328578433	-0.009589525	0.279980403	0.155563587	0.199397166	0.414078999	0.171433755	0.050108088	0.078229953	0.022924292	-0.096380425	0.091012009	0.207623299	-0.245061257	-0.116480633	0.227775322	0.034198698	0.036261736	0.223179735	0.343050669	-0.10644432	0.194155728	0.358159467	-0.091803037	0.015876564	0.130595555	0.032503312	0.454648622	-0.069959726	-0.017436128	-0.007867987	0.186682987	0.496956136	0.103762317	0.027599878	0.350691001	0.189681617	0.086092646	0.317572293	0.286353654	0.112572829	-0.0243573	-0.011307953	0.195722799	0.177746937	-0.147370782	-0.121727293	0.200523402	0.050197712	0.08813939	0.320460944	-0.140150887	-0.225264654	0.014127204	0.243238261	0.462218063	0.287840388	0.231091222	0.255231305	0.102244387	0.028101648	0.162373561	-0.203641545	0.070151126	0.277763976	0.236709943	-0.031656795	0.057043586	0.021708999	0.075651146	0.218017651	0.193712018	-0.284297077	0.566687283	0.106120084	-0.0252817	0.105522594	0.107333231	0.032994098
12	0.444473084	-0.137415236	0.698188896	-0.02172763	0.129036426	0.309586388	0.111530608	-0.011694047	0.274784687	-0.224958709	0.309054758	0.137031328	0.315690488	0.05745847	0.070714056	0.495349358	-0.123430864	0.244874969	0.052201542	0.236306579	0.39999363	0.11062423	0.152430728	0.76172454	-0.019444842	0.564894592	0.163527522	0.026550564	0.025754664	0.0686491	0.543038159	0.225137299	0.321437536	0.116244748	0.299019366	0.310141601	0.081704388	-0.226359875	0.379568103	0.202791397	0.138890726	0.087797079	0.317308281	0.067646762	0.203296206	0.218734699	0.343074887	0.34404999	0.482814241	0.374152474	-0.062542622	0.134928132	0.255595209	0.119205634	0.31424335	0.140808314	0.137527084	0.314182007	0.185651368	0.132088091	0.209779245	-0.157985557	0.162715014	0.365945135	0.170405408	0.320601786	-0.059519077	-0.06142233	-0.152520371	0.655524901	-0.042672997	0.51587777	0.269544327	0.453650708	0.310794594	-0.07970524	0.074485717	0.262496296	0.368041609	0.119743097	0.145381452	0.166124123	0.066541302	-0.089712255	-0.020580171	0.350075028	-0.061455607	0.706995696	0.157466721	0.180454454	0.204555874	0.340219294	0.358972799	-0.059251621	0.051181975	0.2789386
13	0.089848305	0.26744831	0.375027176	0.642916187	0.174014978	0.283494316	0.436168271	0.598988525	0.653177246	0.29102671	0.496292373	0.785118109	0.566954875	0.525917971	0.330478186	0.531466552	0.156900311	0.501095625	0.51676763	0.274488425	0.746669621	0.771191748	0.353438612	0.680622955	0.376148395	0.313270169	0.539462909	0.314019666	0.751766209	-0.089778349	0.520686281	0.762260743	0.654895774	0.191257713	0.396459715	0.660705441	0.198071662	0.135444315	0.571426002	0.096708144	0.39242328	0.464268193	0.346535327	0.021857656	0.274690337	0.229273644	0.358367355	0.677039851	0.48552936	0.49824522	0.139232112	0.328181366	0.342792192	0.323552047	0.237292324	0.461693755	0.325672154	0.276868781	0.481967669	0.508417734	0.558778528	0.273183974	0.407755906	0.144693167	0.906821156	0.856183954	0.122878623	0.055211217	0.125006366	0.374953133	0.061344615	0.386834881	0.450104277	0.107148262	0.296660526	0.798944129	0.369270173	0.513724321	0.385608475	0.395561622	0.820553289	0.254181442	0.151559079	0.513532326	0.371423786	0.384326156	-0.056384725	0.710237445	0.318073747	0.372310068	0.14579632	0.47273448	0.495245887	0.413674052	0.285271391	0.559253973
14	0.814178396	0.471262253	0.696261399	1.141093944	1.160316411	0.765626104	0.724628924	0.872191613	0.775669788	0.841444695	0.387689499	0.462108296	0.565669013	0.877067036	0.96992121	0.83453895	0.789302907	0.905439553	0.696430029	0.794497499	0.836012269	0.927324772	0.911129764	1.132454968	0.731794397	0.699337267	0.848061775	1.164343143	0.736764062	0.420870675	0.737859667	0.907670966	1.199844762	1.056709632	0.966630687	1.140186123	0.670660672	1.246691757	1.015680707	0.720129739	0.946614544	1.109522641	0.532460234	1.235547083	1.099989561	0.739947916	0.679709364	0.901911725	0.577547851	0.939244965	0.834823951	1.157195319	0.59776178	0.909346418	0.685268003	0.592824352	0.724879917	0.811708991	0.955845583	0.27327436	0.993030965	0.845372698	0.731554575	0.720468779	0.306380484	0.53440412	1.210329065	0.309982528	0.777828521	0.75171563	0.662430219	1.261509622	0.739410579	0.747566725	0.860222084	0.442509193	0.610398862	1.152623834	0.77341122	1.018515457	0.957254241	1.076451144	0.638093287	1.084102345	0.724986808	0.900702162	0.828712693	1.002180216	0.858545802	0.999171595	0.770060365	1.076107758	1.351724876	1.127940836	1.178750666	0.684258027
15	1.646741628	1.47926457	1.655579804	1.811044703	1.419606119	1.519963948	1.689762404	1.422232856	1.548722864	1.720349929	1.560315933	1.899532236	1.538298733	1.646690459	1.350859124	1.927878434	1.592665066	1.54882699	1.821908091	1.585883224	1.151626868	1.334201033	1.558364246	1.701106405	1.640062022	1.53849186	1.576210947	1.935575686	1.776513888	1.402649713	1.762371387	1.808356695	1.916392083	1.653025334	1.491874877	1.314581868	1.496883676	1.528052936	1.789059091	1.606167256	1.827031225	1.716723689	1.137963215	1.215227361	1.728426003	1.275855956	1.67114681	1.905883271	1.71065439	1.705617079	1.706037632	1.333375312	1.808467198	1.879550295	1.289233915	1.450546068	2.012621595	1.525007601	1.245911023	2.056533192	1.366232775	1.179213969	1.589043601	1.548362865	1.498201685	1.487065643	1.872024047	1.139726736	1.50805743	1.408150216	2.067096693	1.413603288	1.854388524	1.587439168	1.68303666	1.537605661	1.905838779	1.698856792	1.491151985	1.528586193	1.474458675	1.980597488	1.494635775	1.430296221	1.388556597	1.613990411	1.592479435	1.473146386	1.409137532	1.652021061	1.791115464	1.605543384	1.631898018	1.641111124	1.595693129	1.919611314
16	2.901864169	2.812987852	2.829338034	3.048779422	2.756269758	2.638142833	3.131005732	2.711104062	2.820764466	3.083577142	2.842252822	2.827120874	2.661368911	2.894328349	2.351279294	3.108755342	2.69717714	2.681526043	3.047961027	2.592728824	2.66801798	2.899833089	2.417712711	2.827221478	2.584422096	2.625088711	2.649015476	2.817726598	2.71227465	2.920523296	2.791470076	2.745596297	2.697128764	2.769733192	3.106987825	2.765839901	2.939829222	2.716226929	2.620230049	2.672796862	2.633382912	2.804504127	2.836156914	2.917403009	3.04890162	2.754316704	2.853039605	3.055490813	2.57242186	2.925389828	2.648845049	2.67055155	2.70399068	2.869721342	2.860799797	2.782690766	2.792422635	2.987949423	2.691362034	2.807558826	3.005862495	2.983870647	2.538421083	2.788845597	2.618741672	2.8804687	2.550960025	2.955625935	2.786653237	2.839177945	2.635881788	2.961864827	2.720015793	2.56791709	2.650212781	2.655445734	2.800511264	2.983854817	2.768920208	2.886349523	2.985149051	2.849686344	2.568483645	2.819328441	2.648918086	2.712714957	2.905384062	3.221086473	3.104839682	2.390632127	2.656730421	2.492154363	2.861593546	3.191067351	2.571707466	2.711075748
17	4.802251541	4.406207817	4.642609149	4.540288884	4.061319994	4.558427793	4.151926756	4.598996622	4.359890101	4.391396095	4.73138645	4.721167875	4.277742463	4.382322632	4.72112356	4.070404245	4.227139647	4.857382602	4.348055869	4.215610348	4.210766112	4.955971663	4.672799344	4.304718629	4.46325167	4.45387697	4.012486188	4.238115601	4.39890436	4.262609767	4.03064919	4.41276957	4.422566946	4.617322069	4.077414244	4.550127674	4.52948596	4.12910563	4.498023743	4.31515086	4.298689621	4.585648988	4.849311413	4.522751817	4.372414837	4.486708697	4.270965042	4.6239432	4.194974491	4.599915729	4.634892569	4.274063247	4.446651127	4.303009582	4.593418789	4.495597583	4.676639383	4.531543272	4.732444051	4.400950278	4.315259185	4.459105501	4.486330836	4.885202432	4.613824649	4.449235044	4.460725426	4.41767184	4.372203925	4.416945448	4.428394588	4.698583616	4.197070363	4.573679371	4.448306845	4.354881425	4.308853525	4.687202059	4.407390481	4.500701692	4.365638576	4.292064299	4.472936242	4.133509237	4.495736188	4.51454612	4.439322107	4.639720012	4.579105436	4.835618215	4.712017721	4.632198808	4.901992961	4.604760361	4.372865341	4.515388865
18	6.471718779	6.132033303	5.871659879	6.411632253	6.095734932	6.25371373	6.347736322	6.481450833	6.099562804	6.516599723	6.625883187	6.2057662	6.303286554	6.862160801	6.148630936	6.298759673	6.433734167	6.402266583	6.356186772	6.316298882	6.16598316	6.200683844	6.151954799	6.531623822	6.464321313	6.12325502	6.385252643	6.041017583	6.400197642	5.777219028	6.136000237	6.355945157	6.476680261	6.411002032	6.39399948	6.285161211	6.283287954	6.390516958	6.097154388	6.648069243	6.400422995	6.380884671	6.436248333	6.378968804	6.099949463	6.308329632	6.307803496	6.555782266	6.243783696	6.277471515	6.152346347	6.451464232	6.579809148	6.204232813	6.682050516	6.517196378	6.028914317	6.527701865	6.188400048	6.011186839	6.255229464	6.441280388	6.431308062	6.785563238	6.617354703	6.454155409	6.274542983	6.386706542	6.425804327	6.319756068	6.354363001	6.427333158	6.63404958	6.782829874	6.428884149	6.052479975	6.620328905	6.435185087	6.53557885	6.02783556	6.215428237	6.439683573	6.398844158	6.720617502	6.465830025	6.434341369	6.31420701	6.342089429	5.987906658	6.439991019	5.907521051	6.330760467	6.52662598	6.235562462	6.347967428	6.450617172
19	8.113520297	8.504288778	7.859548012	8.274022168	7.901263793	8.283089618	8.001649924	8.121936913	8.220513563	7.974104185	8.323087378	8.192172304	7.975585879	8.053379146	8.229012265	8.229478418	8.16277232	7.876115802	7.949959284	8.326116718	8.248814387	7.80277527	8.404439676	8.196995933	8.072645113	8.00802864	8.017834785	8.385764571	8.122583999	8.046689984	8.181739569	8.028414012	7.966698546	8.272066485	7.920084967	8.122067633	7.959861564	8.097003935	8.039038356	8.146453316	8.537571664	7.837253832	7.771531885	8.087404171	8.425122404	7.948015298	8.103586254	8.153249439	8.34531775	8.090572106	8.411443397	8.168694777	7.786223907	7.927162063	8.264017618	8.207696086	8.021608131	8.131778756	8.144492676	8.121881918	7.921559877	7.986917445	8.156152487	7.755780856	8.347070977	8.178910893	7.719832811	8.171781137	8.164609178	8.142112899	7.936698153	7.983605214	7.500960191	8.163531415	8.078391478	8.095640684	7.758324268	8.075857559	8.135890353	8.232078883	8.103562119	8.108099365	8.533908082	7.942356809	7.959772957	8.041257798	8.20661995	7.755220925	8.054296451	8.55205359	8.063658624	8.160538834	8.046576373	7.894452415	7.879434345	7.952343443
20	9.522477378	9.422395363	9.390351352	8.936609153	9.121694613	9.317382643	9.094514712	9.283532693	9.639731683	9.359693705	9.622662353	9.462057382	9.663613343	9.367856713	9.474609515	9.614979496	9.739974464	9.229291642	9.351478067	9.685078402	9.283382217	9.406297764	9.198092024	9.33933568	9.413236436	9.42695407	9.505638554	9.7846157	9.285828703	9.306377703	9.57129034	9.734601317	9.367332311	9.305707302	9.627202577	9.257504841	9.183141164	9.176081998	9.63518571	9.505794879	9.116478862	9.50891194	9.401223194	9.468872306	9.670860995	9.466549634	9.280789651	9.27679892	9.576603901	9.356506721	9.371777458	9.536347178	9.221986852	9.41470773	9.628277367	9.573974426	9.27109188	9.289351865	9.357005961	9.559405326	9.603407657	9.140295776	9.397731834	9.433303471	9.109534406	9.411042156	9.30833519	9.338264022	9.36729918	8.857327262	9.460012704	9.700197319	9.064996177	9.081052548	9.653084652	9.406322379	9.449541604	9.501051557	9.473362281	9.118191694	9.407393436	9.481243534	9.535515441	9.237582713	9.4734064	9.212405391	9.633484728	9.201235015	9.413390613	8.838372663	9.246792947	8.856005204	9.526631217	9.237880953	9.154774189	9.25468124
